,annotation,content,user
55,"{'notes': '', 'label': ['1']}",sucks that ppl will do anything to make a buck. i just love how your fans are calling them out. and i'm glad your iphone is safe.,Lindsey0920
56,"{'notes': '', 'label': ['1']}",Let that pussy freeze. Rotten bitey little bastard.,HybridMink
57,"{'notes': '', 'label': ['1']}",Dood! You just justified your MBA. I pity the sorry ass of that downtrodden employee whose manager you'll soon become.,gzacher
58,"{'notes': '', 'label': ['1']}",hehehe. mine pleasure. Btw I too so loves it  when people be presumptous pricksy wicksies! feel jolly nice for me ass to rub on.,Jenn_L
59,"{'notes': '', 'label': ['1']}",I've only lived a quarter of my life and no crisis so far... loser experience  yeah...couple of kinky pinky stuff-yeah. But crisis? Naa,xVivaLaJuicyx
60,"{'notes': '', 'label': ['1']}",imagine a building. not any building...a fucking 300 acre building full of weed....not any weed...but Caucasian Monkey-fuck Weed!,krbleyle
61,"{'notes': '', 'label': ['1']}",Ugh  twitter stop it  you fucking slut.,xpika
62,"{'notes': '', 'label': ['1']}",HAHAHAHAHAHAHAHAHAHAHAHAHA (eww now thats fucking gross!) HAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAAHAHAAHAHAAH,Henkuyinepu
63,"{'notes': '', 'label': ['1']}",cute video lexi u hve some of the of the weridest & cutest little toys i know wht u'll say (shut the fuck up ACH) haha,ericg622
64,"{'notes': '', 'label': ['1']}",Fuck the pics! @giove_dea WE WANT VIDS!!,adri_mane
65,"{'notes': '', 'label': ['1']}",Hard to play because it is damn fucking awful,a_mariepyt
66,"{'notes': '', 'label': ['1']}",you got that right! People stealing others' generators  & other stuff inside the homes when they know no one's home..sucks big time,playboybacon
67,"{'notes': '', 'label': ['1']}",no grown man should include DIP in his sentence....lol...I know I'm hatin but fuck it I'm lookin @ snow..lol,leslierosales
68,"{'notes': '', 'label': ['1']}",oh god  we have an icp display in our window  and weve been getting so many fucking juggalos and they smell sooo bad.,PresidentSnow
69,"{'notes': '', 'label': ['1']}","you should have her talk to @junsten about that. Similarly  he once told me  completely out of the blue  ""I'd hate to be a bird.""",michrod
70,"{'notes': '', 'label': ['1']}",I nominate @PRsarahevans for a Shorty Award in #socialmedia because... Shes damn good at everything to do with Social Media.,timmelko
71,"{'notes': '', 'label': ['1']}",Captain Jean Luc Pic-card of the USS Enter-prize  Captain Jean Luc Pic-Y'KNOW WHAT? FUCK YOU  TEMPLESMITH!,BrookeAmanda
72,"{'notes': '', 'label': ['1']}",FUCK YOU RIGHT IN THE FILTHY PUCKERING SPHINCTER YOU CALL A SOUL!,deelau
73,"{'notes': '', 'label': ['1']}",another downside to living in DSM but working in Indianola:  lunch meetups are usually not possible. :( damn isolation!!!,paulseverio
74,"{'notes': '', 'label': ['1']}","there's nothing better than listening to music on shuffle and hearing you say ""you bitch!"" randomly in the middle of it.",iv3tte
75,"{'notes': '', 'label': ['1']}",I got it. How many damn websites do u have homie! Sheesh!,fedunska
76,"{'notes': '', 'label': ['1']}",U know they all the same dame spot! I bet ya'll got the same damn middle eastern type of cats cooking that crack up too!,MagicalMason
77,"{'notes': '', 'label': ['1']}", kno I check ur blog out! Alpha females vs being a bitch.....damn u be analyzing!,kaelaaa
78,"{'notes': '', 'label': ['1']}",haris i m trying to control my fat tummy did'nt eat from 2 days :D,emo_holic
79,"{'notes': '', 'label': ['1']}",700. you glutinous bitch!,thelazyboy
80,"{'notes': '', 'label': ['1']}",Ok  you're starting to sell me on these vinyl toys (damn  that sounds bad),driveaway2008
81,"{'notes': '', 'label': ['1']}",So true  so true.  Lame ass people are now officially off my radar!!!! Bu-bye!,mscha
82,"{'notes': '', 'label': ['1']}",lo thankyou.. will see you soon :) and i hav to send a mail to u damn!,mike_webster_au
83,"{'notes': '', 'label': ['1']}",Have you tried 'fuck' and 'Fuck'? (yes  they are different),basiabeans
84,"{'notes': '', 'label': ['1']}",Well  not unless he wants some hot Vulcan action.  It only happens once every seven years  but damn  is it worth it.,calihonda2001
85,"{'notes': '', 'label': ['1']}",damn i was hoping for some cash out of this... how bout 5 for pain and suffering lol,djwayneski
86,"{'notes': '', 'label': ['1']}",that sucks... she should prolly just change her major lol,Ceejison
87,"{'notes': '', 'label': ['1']}",that sucks... so are there plans to get back together? or are they done?,ItsBrigittaYo
88,"{'notes': '', 'label': ['1']}",you are a fatty fat fat,MissLaura317
89,"{'notes': '', 'label': ['1']}",you never posted your blog. and today is guest blog day. get with the program my slut pink zebra. LOL loveee you anyway!,RU_it_girl
90,"{'notes': '', 'label': ['1']}",they're not gross. U shaddup u fat ass HATER!!! & yes I made them for mark & my son.,viviana09
91,"{'notes': '', 'label': ['1']}",no one likes every fat snack u do bitch! so shaddup ahahahahaha,disneyfan4eva
92,"{'notes': '', 'label': ['1']}",stop the hateration bitch! it's only gonna make that mohawk stand up rotf!!!,RoseMaryK
93,"{'notes': '', 'label': ['1']}",ask him why he's jumping out of the window. And ask him hows he gonna do it in those tight ass jeans???,perrohunter
94,"{'notes': '', 'label': ['1']}",'Night Guy' is ALL motivated @ 11pm but he knows 'Morning Guy' is gonna hate him when Miss Emily arrives at 5:30am ;-) Night Tweets!,Dogbook
95,"{'notes': '', 'label': ['1']}",OK but I'm telling you  it's going to be hard for me to fight my inner grammar nerd. I'll do it for the cause though ;),natalieantipas
96,"{'notes': '', 'label': ['1']}",mythbusters is a great and nerdy show. Embrace your inner nerd..no suprise they were on the launch of youtube live ha NERDZ ROOL,timdonnelly
97,"{'notes': '', 'label': ['1']}","lol @ ""the bitch"". damn.",homeworld
98,"{'notes': '', 'label': ['1']}",damn. thats crazy early. i wont hit the city til 9:30 but i will be a few blocks from the spot.,willy_chaz
99,"{'notes': '', 'label': ['1']}",Slurpees are awesome. Damn  now I really really want one O.o,LeakySpoon
100,"{'notes': '', 'label': ['1']}","I can see it now. ""Listen  you cow-loving yahoos  just put all of the slurpee in this bag! What? Cups? I don't need fucking cups!",cityrat59
101,"{'notes': '', 'label': ['1']}",i loved it  i laughed my ass off,kenandise
102,"{'notes': '', 'label': ['1']}",ahh  you might be on to something...damn techies,annette414
103,"{'notes': '', 'label': ['1']}",The pig of shame? Lol! Is that like the aardvark of discontent?,blackheartbunny
104,"{'notes': '', 'label': ['1']}",Still - it's damn moronic that media people can't access media - particularly media made by their own company!,GetGary
105,"{'notes': '', 'label': ['1']}",if anyone said Arial I'm gonna beat their ass.,Dogbook
106,"{'notes': '', 'label': ['1']}",well find him and kick his butt too! I hate it when people take advantage of the mentally challenged.,SimoniNicole
107,"{'notes': '', 'label': ['1']}",Tell her she says Bitch like it's a bad thing,wireandroses
108,"{'notes': '', 'label': ['1']}",I did have a moment of seriously considering that. I mean... my Dirt Devil sucks. But I didn't plan on buying a new one soon,jess_higley
109,"{'notes': '', 'label': ['1']}",Ugh! I hate when I get spam followers... They shouldn't count against our talley of actual followers... :-p,missannabanana
110,"{'notes': '', 'label': ['1']}",You know what you are? You're like a big bear with claws and with fangs... big fucking teeth  man.,Zella17
111,"{'notes': '', 'label': ['1']}",Damn  you're totally geeking out on us tonite.,polarna10
112,"{'notes': '', 'label': ['1']}",the eagle w/ @leahsairy ... Decided 2 not do power lesbian night @ mecca & hang out w/ our real queer ppl 2night. gr8 indy band. Emo punk.,megan_rice
113,"{'notes': '', 'label': ['1']}",we are so silly and pathetic and so fucking cool! You tellin me you choking made me choke! And I am sitting next to some girl w ...,ashleyirvin
114,"{'notes': '', 'label': ['1']}",Let your hate for Gambit grow. Embrace it. Spread it.,eyezup
115,"{'notes': '', 'label': ['1']}",dig deep and find that special Christmas hate!,Jonas_Dreamgirl
116,"{'notes': '', 'label': ['1']}",I tried to rickroll my office christmas party last night but the damn band didn't know it!,BreannaBonana
117,"{'notes': '', 'label': ['1']}",even though I was at the same lunch as you  we missed you at our end of the table! Need a damn smart phone! Coulda tweeted back.,becklyn13
118,"{'notes': '', 'label': ['1']}",Smack a bitch? :-D,sonyolmos
119,"{'notes': '', 'label': ['1']}",rock  not the. He gives the emo populists limp wrist rocker throw.,JenBah
120,"{'notes': '', 'label': ['1']}",Already on the coffee. I love her  but hate the whole spite thing. Climbed right on top of me to do it!,viviana09
121,"{'notes': '', 'label': ['1']}",i feel fucking great get me another drink,BustaBusta
122,"{'notes': '', 'label': ['1']}","You've got 5"" of snow?  Damn.  I'm jealous.",MadameCrow
123,"{'notes': '', 'label': ['1']}",It just sucks that so many use it as a crutch.,weefranniev
124,"{'notes': '', 'label': ['1']}",They say I have the best ass this side of fourteenth street.,ikimmyy
125,"{'notes': '', 'label': ['1']}",yes i love the pillows  livejournal jrock rotations (get an lj  they're sick) and uhh fuck i dunno  twitter?? just the site,yolie81
126,"{'notes': '', 'label': ['1']}",ha not that creepy. because it's week 10 and I'm fucking stressed out as hell. I wish I could take a trip down there x.x,spacks
127,"{'notes': '', 'label': ['1']}",Fuck  amen to that,bgoers
128,"{'notes': '', 'label': ['1']}",Aww... Dnt hate the weather  rain can be so soothing sometimes!^^ I still have one more test DD:,MissPassion
129,"{'notes': '', 'label': ['1']}",I knw!!!!!  I hate that! D:,aaronrothe
130,"{'notes': '', 'label': ['1']}",Aww. Thanks dear. And I hate my gradeschool friends for ditching me. They forgot about me when we are suppose to be at her wake.=(,ilikeoreos
131,"{'notes': '', 'label': ['1']}",yeah. i had to beg the stupid teacher. it was so gay.,wiccabuffy
132,"{'notes': '', 'label': ['1']}",yeah we all call her a whore and shes all don't call me that! So i called her a slut. And she said im a tease! And i told her  ...,HiKeri
133,"{'notes': '', 'label': ['1']}",told ya she was fat! she's loyal tho  she has this goin for her...,bnr0201
134,"{'notes': '', 'label': ['1']}",if you tweet about that damn song one more time.... And its on the Scion double disc promo cd,R_Boucher
135,"{'notes': '', 'label': ['1']}",I have all th nerd at home and I'm a smart ass too. So I answered you,josiahmcdermott
136,"{'notes': '', 'label': ['1']}",u got me lemming for some laneige whitening shit! ive been breakin out lately n i need somethin to whiten my damn acne scars bleh,VanessaSingline
137,"{'notes': '', 'label': ['1']}",you're not a twitter slut until you show us full frontal nudity... so until then you're just a tease =P,varunkumar
138,"{'notes': '', 'label': ['1']}",haha... so you want to be a twitter slut... alright  fine... i'll be waiting for the moment you mature from a tease to a slut!,JenniOnTheBlock
139,"{'notes': '', 'label': ['1']}",and there were only 5 of us.. it was a night that i've already forgotten... damn the alcohol,darkninja757
140,"{'notes': '', 'label': ['1']}",I like the verses to the song....just not that lame ass auto tuning nigga on the hook,mikecogh
141,"{'notes': '', 'label': ['1']}",hold up nigga..u cant hate Jay-Z...might have to beat yo ass like that nigga did when that other guy said F Tupac...lmao,KandiConnection
142,"{'notes': '', 'label': ['1']}",way to damn hard,joechummer
143,"{'notes': '', 'label': ['1']}","the explosion of social media into mainstream business.  We will see everyone joining Twitter  its the ""year of the nerd""",kellireneez
144,"{'notes': '', 'label': ['1']}",but...but...to hate them is sin!!! just give me the ones you get angry with...i'll take care of them! hahaha,treehugger25
145,"{'notes': '', 'label': ['1']}",DOGS LICK THEIR ASS...NEED I SAY MORE? DOG.,chatpataa
146,"{'notes': '', 'label': ['1']}",No  I HATE those commercials! Just GROSS. *gag* Okay okay  you've got an hour before showtime. hehehe &#9829;,ThisStoutjunt
147,"{'notes': '', 'label': ['1']}",it was a joke haha. i figured id be emo too since everyone is complaining on here,sew_cute
148,"{'notes': '', 'label': ['1']}",It sucks though when you have nothing to do at 4AM and your roommate wants to sleep.,Twokids1
149,"{'notes': '', 'label': ['1']}",o so the rumors are true i am OBESE! yea fat!,AKyarnie
150,"{'notes': '', 'label': ['1']}",girlfriend where the fuck did u find that photo! lmao!,luimoral85
151,"{'notes': '', 'label': ['1']}",ur a damn fool lmao,ceironous
152,"{'notes': '', 'label': ['1']}",They're not my preference  but the app is so damn fast and thorough that I let it slide.,brandonmcb
153,"{'notes': '', 'label': ['1']}", Ha! Yeah  that caught my attention  too. Now wait & watch for Red Wings fans to freak. I'm gonna make popcorn for that show :),mannyrique
154,"{'notes': '', 'label': ['1']}",Tell them you want YouTube to quit fucking with things that no one wants fucked with.,styletrain
155,"{'notes': '', 'label': ['1']}",No  you just piss out anything your body won't absorb.,kscud
156,"{'notes': '', 'label': ['1']}",Doh! dont you hate it when that happens  I keep meaning to take a backup myself,kirstenj0y
157,"{'notes': '', 'label': ['1']}",Damn he's doing sneeks for Nike and Louis Vuitton? Dude's gonna be rolling in dollar...,marculus
158,"{'notes': '', 'label': ['1']}",Mate it is. In Newcastle it was -1  down Bath -6  it's fucking brassic cold,andrewofthediaz
159,"{'notes': '', 'label': ['1']}","hate text talking""",dbmendel
160,"{'notes': '', 'label': ['1']}",: And whilst on the subject  all Aussie drivers should be reminded KEEP LEFT UNLESS OVERTAKING. Damn middle lane owners club!,erks
161,"{'notes': '', 'label': ['1']}",less #damn-fridays  more #bad_wookie_pun,ringleaderkanon
162,"{'notes': '', 'label': ['1']}",women are fucking disgusting.,babibabs
163,"{'notes': '', 'label': ['1']}",you bet your sweet ass you will!,ace587
164,"{'notes': '', 'label': ['1']}",dating a 4 year old? Damn. You're faster than me. I only caught 3 year olds name.,ktribb80
165,"{'notes': '', 'label': ['1']}", will do when i get home  only time i heard it was warped though  fuck life!,OliviaFox
166,"{'notes': '', 'label': ['1']}",Man  why u live in NYC in that crazy ass weather. Move out to LA. It's nice EVERYDAY. NYC is soo over-rated! lol,IluvJoelMadden
167,"{'notes': '', 'label': ['1']}",i got ur ticks  but yo ass ain't gonna come! lol,easyausguy
168,"{'notes': '', 'label': ['1']}",Ugh  ok... I hate NYC also. Hmmm. thinking...We are having a Screening on the FOX Lot that week. Maybe u can roll through?,Hollywood_Trey
169,"{'notes': '', 'label': ['1']}",stuff like building the forums is what I do when writing is kicking my ass  that's how I do it ;),EcoTravelTV
170,"{'notes': '', 'label': ['1']}","Also  I caught that ""Gai-damn"" earlier  and I support it 100% ;)",AshaleaMay
171,"{'notes': '', 'label': ['1']}",gee  i'd hate to see what you say about the family ;),AthenaA42
172,"{'notes': '', 'label': ['1']}",dude dont tell me what to do thats not your place. i do what i want. just chill the fuck out and worry about yourself.,Missy__
173,"{'notes': '', 'label': ['1']}",damn fine! The snow is gone thank god!,BrettFair
174,"{'notes': '', 'label': ['1']}",That sucks.  Life can't really be that bad  right?  Chocolate does always help.,mydwynter
175,"{'notes': '', 'label': ['1']}",i hate you :P happy birthday dude  good to know your enjoying it,jhenkens
176,"{'notes': '', 'label': ['1']}",thats a good question.  most lawyers HATE that stuff.,sarah_katie
177,"{'notes': '', 'label': ['1']}",YOU STUPID WHORE I HOPE YOU ARE IN YOUR HOUSE WHEN I BURN DOWN YOUR HOUSE YOU STUPID WHORE WHY WOULDN'T YOU GO TO PROM WITH ME,amanda5280
178,"{'notes': '', 'label': ['1']}",oh guess who got an australian shephard puppy today. note: NOT ME. the other roommate. yeah. another. fucking. dog.,Shabbybebe
179,"{'notes': '', 'label': ['1']}",ummm. Ya. That's pretty damn pimp.,fatkat309
180,"{'notes': '', 'label': ['1']}",as much as I hate the winter  those pics are beautiful. We've had insane-o storms like that in MO. Sucks so bad  esp sans power,blackheartbunny
181,"{'notes': '', 'label': ['1']}",got delayed.  your ass kicking will have to wait.,szrhnds602
182,"{'notes': '', 'label': ['1']}",I know it sucks  but I'm actually envious of you.  Though I have orientation for a tutoring program on the 14th.  Did I tell you?,schammy
183,"{'notes': '', 'label': ['1']}",it was just a joke man..i wasnt taking the piss out of anything.,mariotani
184,"{'notes': '', 'label': ['1']}",i hate your face sounds EXACTLY like something i would say.also reminds me of a drunk girl trying to fight me and,Jaderade14
185,"{'notes': '', 'label': ['1']}",i was spanked but do not  only because it makes my kid behave worse  so doesn't work. not a lot does work-kinda sucks too.,LeeseEllen
186,"{'notes': '', 'label': ['1']}",I've been messing around with some of the beta releases. It murders every other WP version (widget panel still sucks though).,FNFKayCee
187,"{'notes': '', 'label': ['1']}","Are you laughing your ass off with all these ""juicy"" twits?",CaddyStage
188,"{'notes': '', 'label': ['1']}",yeah we do... damn this time difference *HUGS*,ha_nobita
189,"{'notes': '', 'label': ['1']}",OMG bundesliga and brasilian bossanova. This was worse than seeing your loved family dog licking his ass. I'm scarred,tchviolin
190,"{'notes': '', 'label': ['1']}",hmm so thats suk your soul hate and reinvent you to get my dry cleaning hate?,DreamActivist23
191,"{'notes': '', 'label': ['1']}",yep. I didn't think to go online and check calorie/fat count until AFTER dinner. Bummer.,msbutt3rfly14
192,"{'notes': '', 'label': ['1']}",wow - mommy's little cheerleader! *must... not... take... the...piss......*,Karmatical
193,"{'notes': '', 'label': ['1']}",lol.. that sucks..it's so nice in miami... catching that ocean breeze from the balcony....don't want to rub it in...lol,Jana1976
194,"{'notes': '', 'label': ['1']}",oh hot damn!,AmyJade
195,"{'notes': '', 'label': ['1']}",He can't hear you  his head's too far up his own ass.,tantrixie
196,"{'notes': '', 'label': ['1']}",Prison Bitch is a sparkling addition to any resume.,supersharayah
197,"{'notes': '', 'label': ['1']}",a constant receiver does not a giver make. Prepare to be Prison Bitch Blagojevich (new campaign slogan  it rhymes),bluepaintred
198,"{'notes': '', 'label': ['1']}",that sucks that you're sick. Sorry to hear that.,AmyJade
199,"{'notes': '', 'label': ['1']}",No thanks. I don't want cable. I hate most TV shows. I really hate commercials. I get my news online. I'm good. :),bovinemammal
200,"{'notes': '', 'label': ['1']}",try telling your parents that you don't want to see them. see how well that fucking works out for you  yeah?,jessejoseph
201,"{'notes': '', 'label': ['1']}",Football. I hate it. It&#8217;s official  I&#8217;m bad luck.,lennytoups
202,"{'notes': '', 'label': ['1']}",I fucking love Haunted.,paulverhoeven
203,"{'notes': '', 'label': ['1']}",I didn't know you were an avid football watcher. Is that even football? I think it is. Fuck sports.,Britty88
204,"{'notes': '', 'label': ['1']}",lol kevin bought me damn near nothing and we dated for over 10 months. my life sucks.,stephaniekmusic
205,"{'notes': '', 'label': ['1']}",Yea it sucks!!,Jemimus
206,"{'notes': '', 'label': ['1']}",Indeed. But the Collier conversation relationship head up your gleeful ass kumbaya stuff needs to be put out with the trash.,Sweetpineapple
207,"{'notes': '', 'label': ['1']}",yeah i am glad i have the next 2 days off.. I just have to get through xmas eve and the weekend afterwards. damn gift cards,Artiel87
208,"{'notes': '', 'label': ['1']}",hot damn! did you get an iPhone too?,treehugger25
209,"{'notes': '', 'label': ['1']}",aw  thanks. it's going better than yesterday  that's for damn sure. :-D,Mirlina
210,"{'notes': '', 'label': ['1']}",no. i must have missed that one. damn. ;-),g_rose86
211,"{'notes': '', 'label': ['1']}",have a safe flight.....damn now you make me want some jamba juice,omgseriouslywtf
212,"{'notes': '', 'label': ['1']}",I got it for Wii  when I get back from my dad's we're gonna play and it will be so kick-ass.,DjGundam
213,"{'notes': '', 'label': ['1']}",http://twitpic.com/xm6u - You have an inbox folder for CYA - Covering Your Ass?,stacyc37
214,"{'notes': '', 'label': ['1']}",him and his damn tech stuff bwahaha,Alp0
215,"{'notes': '', 'label': ['1']}",i'm not emo. I'm fucking happy!,TheDCD
216,"{'notes': '', 'label': ['1']}",well now I have to edit myself and you know how I hate that!,DrewKatavich
217,"{'notes': '', 'label': ['1']}",if u get a stye is it from seeing a dog shitting or fucking?  And what do I do with my fingers?  Consult H if u need to.,tinyvamp
218,"{'notes': '', 'label': ['1']}",what does that say about me that I was laughing my ass of when I heard that. Rapping the word titties is just damn funny,MTLarson1224
219,"{'notes': '', 'label': ['1']}",& I was there helping your ass pack to get on the plane. A tru friend - helping you track a sub sized weiner like fucking GPS,vcf2
220,"{'notes': '', 'label': ['1']}",you have officially been put on my bread stick mailing list. Fuck those rock republics and eat something already.,thinkingmama
221,"{'notes': '', 'label': ['1']}",i get that ha ha smart ass :p,Cherye101
222,"{'notes': '', 'label': ['1']}",i feel pretty oh so pretty...i feel pretty and witty and gAY! Ha ha good times,nataleyritter
223,"{'notes': '', 'label': ['1']}",Yeah  I mean I know the plan and the creative are kick-ass. But sometimes clients have a warped view.,ciairuhh
224,"{'notes': '', 'label': ['1']}",Oh man  that sucks. @Vincentdooly can you help @dsmoore out?,sarahdesjardins
225,"{'notes': '', 'label': ['1']}",yea the weather sucks. At least you missed the 8 degree weather though lol.,larsgunnarf
226,"{'notes': '', 'label': ['1']}",I do  but I'm an American. Hence  I'm a pussy.,Lvonhusen
227,"{'notes': '', 'label': ['1']}",God.. that commute has to be a bitch dealing with.. driving back and forth from Raleigh to Fayetteville...,TimelessAKA
228,"{'notes': '', 'label': ['1']}",I take full pride in being a nerd. Hahah.,jinnah
229,"{'notes': '', 'label': ['1']}",THAT'S AN UGLY ASS PICTURE!,edsed
230,"{'notes': '', 'label': ['1']}",Pretty much  but now there will be less AIM errors! Weeeee  you can see that I don't type like a retard!,admdrw
231,"{'notes': '', 'label': ['1']}",My grandmother is a big bitch and my father's a fraking arsehole.,Loreinski
232,"{'notes': '', 'label': ['1']}",you must be bored...you are a twitter whore today. ;),OhShayLaVie
233,"{'notes': '', 'label': ['1']}",man i'm jealous of your day! i'm also hooked on twitter. damn arv. like i needed another procrastinating tool like this.,dossy
234,"{'notes': '', 'label': ['1']}",just don't eat a meal replacement bar.. I fucking threw up!!,bigwillthechamp
235,"{'notes': '', 'label': ['1']}",fuck duke!,MalloryLe
236,"{'notes': '', 'label': ['1']}","what if their ""you"" really sucks? like  why be a wack person when you can be an imitation of a more cool person? i think this",courtosullivan
237,"{'notes': '', 'label': ['1']}",2 weeks? how am I gonna live without money for 2 fucking weeks?,Augustina22CA
238,"{'notes': '', 'label': ['1']}",Well get your ass busy!,sdcoyle
